name,rating,review_count,price,categories,address,latitude,longitude,phone,url,parking_available
"Davis, Byrd and Gonzales Eatery",3.3,720,$$$$,French,"3213 Walton Station, Minneapolis, MN 89271",44.894297,-93.26202,+1-916-878-7573x7516,https://www.martin-smith.com/,No
Freeman-Martinez Steakhouse,2.9,553,$$$,"Indian, Mexican, Vegan","415 Antonio Lodge, Minneapolis, MN 36913",44.996318,-93.329236,385.307.4463x44726,https://richardson.com/,No
"Villegas, Smith and Bailey Grill",3.2,103,$$$$,"Mexican, American, BBQ","22827 Lee Key Apt. 276, Minneapolis, MN 99428",44.937006,-93.226495,857-792-4178x546,https://www.parker-nguyen.info/,Yes
Edwards-Andrade Bistro,4.4,160,$$,Vegan,"130 Henry Village, Minneapolis, MN 13649",45.042633,-93.244118,001-772-688-7712,https://www.mercer.com/,Yes
"Miles, Swanson and Wilson Bistro",5.0,673,$$$$,"Thai, BBQ","93125 Thomas Junctions Apt. 385, Minneapolis, MN 51048",45.018174,-93.310002,(687)680-3551x47961,http://reynolds.com/,Yes
Curtis-Fox Diner,3.4,306,$$$$,Indian,"4187 Williams Estate Suite 934, Minneapolis, MN 70946",45.039969,-93.341059,(269)852-8118x55440,https://www.kline.com/,Yes
"Edwards, Davis and Burton Bistro",3.7,567,$,"Mexican, American, Chinese","0526 Lisa Knoll, Minneapolis, MN 04725",45.004645,-93.254087,+1-619-746-9524x8782,http://murray.com/,No
"Hunter, King and Wallace Steakhouse",4.5,190,$$,"Mexican, American","3500 Stacy Village Apt. 858, Minneapolis, MN 34365",44.891545,-93.201642,(215)293-4721,http://www.hickman.com/,No
"Norton, Medina and Craig Grill",4.4,873,$$$$,French,"328 Curry Inlet Apt. 023, Minneapolis, MN 26727",45.019906,-93.285671,+1-555-858-4975,http://brown.com/,Yes
Meyer Group Kitchen,3.8,705,$,Indian,"97053 Ball Bypass, Minneapolis, MN 75405",44.907883,-93.316233,784.754.6654x683,http://fisher-russell.com/,Yes
Harris-Quinn Eatery,4.7,732,$$$$,"Chinese, BBQ","83674 Leonard Ville, Minneapolis, MN 77487",45.002905,-93.339681,646-519-8096,http://www.kirk-wells.com/,No
Marshall Group Kitchen,4.7,709,$,"Thai, Vegan, Mexican","3092 Morgan Road, Minneapolis, MN 16020",44.952976,-93.206449,+1-759-746-7453x307,https://www.martinez.com/,No
Lopez-Rice Eatery,4.7,96,$$$,"BBQ, Vegan, Mexican","000 Lewis Skyway Apt. 867, Minneapolis, MN 75206",44.942368,-93.218348,6085418973,http://erickson.info/,No
Allen-Thompson Kitchen,3.8,885,$$,BBQ,"78599 Norris Extension Apt. 173, Minneapolis, MN 22476",44.899987,-93.218505,5226484530,https://moore.com/,Yes
"Wong, Scott and Small Cafe",3.2,477,$$$$,"Thai, French","31457 Edward Locks Apt. 193, Minneapolis, MN 36743",44.946182,-93.25494,(730)909-4747,https://davidson.info/,Yes
"Harris, Valdez and Romero Steakhouse",3.4,176,$,Mexican,"73681 Simmons Lake, Minneapolis, MN 88924",44.89521,-93.329337,+1-216-471-2836,https://johnson-valenzuela.com/,Yes
Munoz-Sanford Steakhouse,4.6,879,$,Seafood,"84735 Ramirez Springs, Minneapolis, MN 23427",45.047977,-93.247384,(478)749-8719,https://www.wheeler-williams.com/,No
"Shepherd, Lawson and Gonzalez Steakhouse",3.2,692,$$,"Indian, French, Mexican","774 Jessica Land, Minneapolis, MN 82854",44.994425,-93.241753,432-906-9028,https://www.ellison-chavez.org/,Yes
