Restaurant Name,Reviewer Name,Review Rating,Review Text,Review Date
Nolabelle Kitchen + Bar,Mary Anne Wangen,5 stars,"We are not in Mankato a lot, so we are not very familiar with the restaurants here. Nolabelle was one of the first ones to pop on my Google search, so we decided to try it. …",a week ago
Nolabelle Kitchen + Bar,Leslie Merriman,5 stars,"Absolutely hands down my top 5 favorite French dips. And atmosphere and bartender is a vibe! Amazing local restaurant.
10 stars!!",2 months ago
Nolabelle Kitchen + Bar,Kelly Meyers,5 stars,"Great service and fantastic food! My friend got the Roasted Wild Mushroom + Burrata Toast, I tried the Eggs and Grit, and then we split a piece of the Pain Perdu, it was all SO GOOD!",2 months ago
Nolabelle Kitchen + Bar,Sarah Sayavong,3 stars,"Food was good nothing to rave about. Stir clear of the poached pear it’s a battle to eat. It’s good but for us not worth trying to cut it up to eat it.
The table was dirty, sticky, and the lamps are covered in dust. There was also a …",4 months ago
Nolabelle Kitchen + Bar,Lydia Meredith,2 stars,My friend and I wanted to try somewhere new and fun so we came in for dinner. Great atmosphere and our waitress was super friendly and attentive considering how busy they were with outdoor patrons. We had the short rib egg rolls and they …,8 months ago
Nolabelle Kitchen + Bar,Dana Marie (WI - MN - TN),5 stars,Our dinner at Nolabelle was absolutely wonderful! We sat outside on a perfect fall evening and enjoyed a couple of cocktails followed by their delectable Short Rib Egg Rolls. They were so delicious and filling that we each got a salad. We …,a year ago
Nolabelle Kitchen + Bar,Kasey Morris,5 stars,Farm to Table quality of food. Wish I had an appetite for more things off the menu to try. Avocado toasts - So delicious and not your basic toast. Feels like you’re in Minneapolis. …,9 months ago
Nolabelle Kitchen + Bar,Cheryl Villars,5 stars,We had a large group this weekend and they handled us like absolute champs!! The service was wonderful. The Thai Peanut + Pork Belly Salad was really really good (although some of the pork was too dry). Some of the girls thought their …,10 months ago
Nolabelle Kitchen + Bar,Jeffry Twidwell,5 stars,"Had a great lunch yesterday at Nolabelle.
This is  a very easy review to write.  Staff and server excellent (Emma), food was creative and delicious ( spring roll appetizer, lamb pitas, apple salad with …",a month ago
Nolabelle Kitchen + Bar,brad Lund,5 stars,Not often do I find the perfect place.  Amazing apps. The best Cuban I have ever had and the drinks were delicious.  I will be back and you should give it a try and let me know what you think! I highly recommend the charcuterie board!  The mustard should be bottled and sold.,a year ago
Nolabelle Kitchen + Bar,Bella Blue,2 stars,"Food was burnt, the chicken was dry and tasted like fish, the food took a while and we saw it just sitting on the counter for quite a bit. When it arrived to our table it was barely warm. They tried to explain some of the reason why it …",a week ago
Nolabelle Kitchen + Bar,Spence Titus,5 stars,Wow! My girlfriend found this place and made reservations for a date night for us. We live about an hour away. Somehow had never heard of this establishment. …,2 years ago
Nolabelle Kitchen + Bar,Dawn Uribe,5 stars,"Best grilled cheese I’ve ever had! Sweet (peaches), savory (bacon), spicy (jalapeño) and - the most brilliant part - goat cheese! Never had anything like it. So glad I tried it! My husband had shrimp and grits and that was very good too. We …",2 years ago
Nolabelle Kitchen + Bar,Amy Dvorak,5 stars,"Fantastic, unique food! Great service and delicious craft cocktails! Fun find on a college visit!",4 months ago
Nolabelle Kitchen + Bar,Julie W,4 stars,"First time,  food was very tasty & esthetically pleasing to the eye. I had the buffalo chicken street tacos. I especially liked the thin corn taco shells & my friend had roasted Brussels sprouts.  Have a few extra shillings in your pocket & …",8 months ago
Nolabelle Kitchen + Bar,Brandon Wolf,5 stars,"Stumbled across this place while traveling through on our way to South Dakota. The food was fantastic. The cocktails were excellent, and the service was extremely friend would highly recommend.",9 months ago
Nolabelle Kitchen + Bar,You Betcha Bites (Brandon Jackson),5 stars,"The round is over. They brought the heat. We have a victor. Winner Winner, Chicken Dinner.  And the Nolabelle tolls for its own victory... ;) …",2 years ago
Nolabelle Kitchen + Bar,Sarah Houle,5 stars,"This place is awesome!  We were impressed with everything (the open and clean space, the food, the servers) and how so much thought was put into this restaurant. I'm particular to a good eggs benny, and theirs was excellent, with pieces of …",4 years ago
Nolabelle Kitchen + Bar,Victoria Hansen,5 stars,"My boyfriend had the biscuits and gravy and I had the chicken and waffles. My boyfriend's loved the biscuits and gravy, and the eggs that it came with. He also really enjoyed the Wired Russian he got. The chicken and waffles was amazing. …",5 months ago
Nolabelle Kitchen + Bar,Theresa Crozier,5 stars,We go here for all our special events. Everything on the menu is delicious from the cocktails (both N/A and alcoholic). We can't help but order dessert every time. The vegan tres leches is amazingly good and so is the chocolate torte. …,a year ago
Nolabelle Kitchen + Bar,Millie Boyd,5 stars,Hands down the best place to eat in the southern part of MN!! Well worth the drive if you don’t live in Mankato. The best customer service I’ve had that is always consistently good. The food is also very consistent. …,3 years ago
Nolabelle Kitchen + Bar,Seth Reiman,5 stars,"I was pleasantly surprised by this restaurant.  I was previously unaware of it, even though I was familiar with the larger Mankato area. …",a year ago
Nolabelle Kitchen + Bar,Candie Muetzel,5 stars,Kind of strange food but on the other hand it was something different and healthy.. That squash steak is amazing.... That :) dark haired waitress we had was just sweet as could be... I would definitely go back...,2 years ago
Nolabelle Kitchen + Bar,Jeff Wondra,5 stars,We stopped in before a Maverick hockey game without a reservation and luckily got seated right away. It sure seems like they have the culture figured out here. Every employee was attentive and kind. The food was all ridiculously good! I …,4 months ago
Nolabelle Kitchen + Bar,mariagonzalezrey,4 stars,"We went there for lunch after seeing all the reviews. It's a gorgeous place, very quaint, all food came beautifully presented. Flavorwise, the Arugula & Apple salad was absolutely fantastic, very well seasoned, fresh and exciting! The …",2 years ago
Nolabelle Kitchen + Bar,Cliff Coy,2 stars,"Personally Nolabelle isn't for me. Their menu comes off a bit pretentious, like it's trying to hard. But that's my opinion. For the facts. Their wait staff is great, my wife had a hair in her blackened salmon and they made her a new one …",a year ago
Nolabelle Kitchen + Bar,Mark,2 stars,I'll first start out by saying we've been to Nolabelle a few times for brunch and quite liked it. Tonight we decided to try it out for dinner and we left feeling let down. …,10 months ago
Nolabelle Kitchen + Bar,Eve Parkes,5 stars,"Menu was fantastic great selection. Service was fast and friendly
We had charcuterie platter, Burrata Caprese and shrimp cakes! Absolutely delicious. Highly recommend",a month ago
Nolabelle Kitchen + Bar,Steve Ephraim,5 stars,"We stopped here for espresso and dessert after all the other espresso cafes were closed.  Excellent service, atmosphere, espresso, and bread pudding.  Comfortable outdoor seating area for warm weather dining.",7 months ago
Nolabelle Kitchen + Bar,Whitney Younger,5 stars,"Always fantastic food and service. One waitress remembered that she had served me on my birthday multiple months prior. Always a fun time with me and my roommates here (: I love their cocktails, burrata, and this one sandwich they have with au jus",3 months ago
Nolabelle Kitchen + Bar,Kaylee Polzin,5 stars,"Our server, Charlotte did a great job helping with our special request! She helped us reveal the gender of our baby. The food was delicious, the service was great and it's always an enjoyable atmosphere. Nolabelle is one of our favorite date night locations.",4 months ago
Nolabelle Kitchen + Bar,Carol K,4 stars,"Great staff, tasty food and a real buzz. Our first visit and it won't be the last. Well prepared and presented lunch featuring house made components, the freshest ingredients (flavorful lamb and amazing burrata) and generous portions. …",3 years ago
Nolabelle Kitchen + Bar,Aubrey Leasure,5 stars,One of my favorite Mankato restaurants! Brunch on the weekends is always excellent but great spot for lunch and dinner too. Great trendy vibe with a fresh menu. The pain perdu and eggs Benny are my favorites for brunch. Butter baked walleye …,3 years ago
Nolabelle Kitchen + Bar,Cherish Grabau,5 stars,"You could taste the freshness of everything. I really appreciated the fact that there was a very nice mocktail menu (I had to ask for it separately, but many places don't even have one). There is no need to settle for a Shirley Temple or …",a year ago
Nolabelle Kitchen + Bar,Nicki Brinkman,5 stars,Hands down my favorite breakfast spot. I wish I could eat here every day! Such a fun twist on all their menu items. The pan perdue   and avocado toast are my favorites!,2 years ago
Nolabelle Kitchen + Bar,Christa Forgue,5 stars,Viva took such good care of us. Kids loved Mac n cheese so much we ordered two! Truffle chips are so good. Finished the night with butter cake! Excellent food and service!,5 months ago
Nolabelle Kitchen + Bar,michael krohn,5 stars,"This place was great. The food was absolutely amazing. The staff were very friendly and accommodating. I highly recommend this restaurant. Very, very impressed, all around. I also really like the atmosphere there. It's a very bright and open. Lots of windows that really open the place up. Again, I recommend this place.",4 years ago
Nolabelle Kitchen + Bar,Angie,5 stars,Food was great. I came with coworkers and got the burnt ends and roasted brussel spouts as appetizers. I ended with the roasted chicken legs for my main dish and omg so good! …,a year ago
Nolabelle Kitchen + Bar,Amber,5 stars,"Came in for breakfast and the bartender recommended the Lemon Ricotta pancakes (I’m not really a lemon fan) but I went for it. He also recommended the jalapeño grits so naturally I ordered that to! WOW! Fantastic meal! Mimosa was excellent, …",2 years ago
Nolabelle Kitchen + Bar,Julie Coskey,5 stars,"I had the Shortie French Dip for lunch, and it was perfect. The bread was soft, the au jus was homemade and perfect, the meat was tender and flavorful, and the aioli had just a hint of horseradish. Ten out of ten! Excellent service from everyone, too.",4 months ago
Nolabelle Kitchen + Bar,Hailey Krause,5 stars,I came in last Sunday and the food and service was fantastic! Shout out to my server Emma F. For the great service!! We will definitely be back for another great meal!!!,3 months ago
Nolabelle Kitchen + Bar,Yessica Galvan,5 stars,Hands down!!! I had a chicken- kale-apple slaw  plate for dinner and it was amazing! Their grits are one of the best I’ve ever had👌 Plus a mojito drink and it was delicious.  Now for dessert I had a “mint chocolate ice cream” 🍨 and it was …,3 years ago
Nolabelle Kitchen + Bar,Darren Wacker,5 stars,"I have been to Nolabelle twice now and enjoyed it immensely both times. The thing that stands out for me is the service.  The waitstaff is attentive. The bar staff are engaging and fun.  The cocktail menu is creative, has variety and is reasonably priced. The food is also very good with a broad variety of choices. I highly recommend",4 years ago
Nolabelle Kitchen + Bar,Brad Stone,4 stars,"My wife got the pork chop and loved it.  I thought it was a little bland.  I got the steak and fries.  Now, I will say they were the best fries I've probably ever had.  The steak on the other hand was ok, nothing special.. I doubt it was a …",7 months ago
Nolabelle Kitchen + Bar,Shelly Klaustermeier,2 stars,Reservation wasn’t honored. Was not late for early reservation and business wasn’t busy. Made a reservation that would make my dining experience pleasurable because of a physical limitation. Should have just left instead of sitting in pain.,3 months ago
Nolabelle Kitchen + Bar,Daniel Braam,5 stars,"Loved the appetizers, we had the roasted Brussel sprouts.  Each of our party of six loved their main courses.  I had the baked walleye over rizzoto and capers.  Loved it.",a year ago
Nolabelle Kitchen + Bar,Lisa Carmichael,5 stars,Very nice. Excellent food. Our waiter was good however noticed the service wasn’t a team effort. Think I would have a different vibe if everyone worked together. Still a good experience and definitely recommend.,a year ago
Nolabelle Kitchen + Bar,James Jackson,1 star,"Visited on a weekday noon time, end of July. I'm solely going to address the Cubano sandwich and sevice in this review as they were the most agregious failure of the meal, nevermind the rest of the meal and its shortcomings. The Cubano was …",2 years ago
Nolabelle Kitchen + Bar,Alexander Hennek,4 stars,"Great food, amazing flavor and very filling definitely won't leave hungry. Their Bloodies are outstanding. The candied bacon is phenomenal. Very warm and friendly staff. A must stop and try if you're in the downtown area.",4 years ago
Nolabelle Kitchen + Bar,R B,5 stars,"Wow, if you haven’t tried this place it’s a must.  Young chef from SD and he knows what he’s doing!  Food was unbelievably good, drinks were fantastic, and the host and wait staff were amazing.  Menu is terrific too, great variety with unique flavors. I sincerely can’t wait to go back.",7 months ago
Pagliai's Pizza,Dan DeBaun,5 stars,Great bar-style pizza in a no-frills atmosphere. Absolutely loved it! It was busy but a booth opened up for my wife and I quickly. You’re walk in and find an open seat. The staff were very friendly. Pictured here is the four cheese pizza and that was our favorite. Crummy picture because I was so excited to eat it.,a week ago
Pagliai's Pizza,Lillia Khelif,5 stars,"We stopped in on a whim while randomly visiting Mankato and this place was a well oiled machine. Friday night & super busy, but they were slinging pies fast and had very good servers. We arrived at the right time and got the last seats …",a week ago
Pagliai's Pizza,Natalie Barnes,5 stars,"Wonderful Pizza, think the deep dish is the favorite! Paige our amazing server was spot on! Can't wait for another trip!
Trip 2  (4/2/24) was just as amazing. Favorite pizza EVER! (Service still amazing as well!) 12/18, still fabulous! Tried the taco this time, hubby loves it!",2 months ago
Pagliai's Pizza,Chris Cook,3 stars,"Stopped in on my way back from a road trip around 5pm on a Sunday in November. Wanted an order of cheese bread, like we got after bar close back in college. Took 30 minutes and they knew I was waiting but didn't tell me when it was ready. Cheese bread was good, not great. Might be the last visit to Pags 😢 …",2 months ago
Pagliai's Pizza,Sam Wright,5 stars,"Popped in here on a complete whim wanting lunch amidst our cross country road trip. We were not disappointed! Knowing Mankato is a college town we were not surprised that this place was virtually empty midsummer, midweek, at noon. Despite …",7 months ago
Pagliai's Pizza,Andrew Willems,4 stars,"This joint feels like a New York pizza place, but the employees and patrons are Midwest nice! Watch the pizzaiolos make each pie in the outside window or from the counter. …",10 months ago
Pagliai's Pizza,Donna,5 stars,I had Pagliai's Taco Pizza delivered this evening. Best taco pizza EVER!  It was so yummy!!  The person taking my order on the phone and the delivery person were exceptionally pleasant but then I have come to expect that from Pagliai's.  I …,4 months ago
Pagliai's Pizza,Robert Shewmake,4 stars,"Had a pretty good lunch here yesterday.  The spaghetti was just a little wetter than I like, but still good. The Taco Pizza was ok but I probably wouldn’t order it again. My buddy loved the Philly Cheesesteak and says it could be one of the best he’s ever eaten. I would come back again if I was in the area.",2 years ago
Pagliai's Pizza,J Johnson,5 stars,Town favorite and best deep pizza in Mankato! Forget the chains and eat like the locals in Southern Minnesota.,2 months ago
Pagliai's Pizza,Timothy Olson,5 stars,Only been there once for lunch. The lunch special for $7 is a great deal (small one topping pizza).  Outside is cute. Inside is functional.  Staff was friendly.  Was pretty busy.  Thin crust.  Parking was the hardest part. I am excited to take my family back there.,2 years ago
Pagliai's Pizza,Bart Cochrane,5 stars,I go here every time I go to Mankato.  The pizza is absolutely phenomenal. Barbecue chicken is my fav. My bud gets there spaghetti whenever he goes with me. Massive portion. We get the same dude here comes and helps us every time.  think he …,2 months ago
Pagliai's Pizza,Michelle Schwerdtfeger,5 stars,One of the oldest and best pizza places in Mankato! They have a great lunch specials as well. You can't go wrong getting food from here!,8 months ago
Pagliai's Pizza,Timothy Sharp,5 stars,Great food! Drive 40 minutes one way to eat this as much as possible. Favorite pizza around.,a year ago
Pagliai's Pizza,britney dub,5 stars,"Pagliai's was our first stop while visiting my boyfriends college town of Mankato and 16 years later, he says it's the exact same as he had remembered it. we sat at his favorite booth way in the back and ordered a 10"" taco and 10"" philly …",2 years ago
Pagliai's Pizza,Brian Schofield,5 stars,Great food and a great price and staffed by outstanding and friendly wait staff. Mankato's oldest pizzeria is still as great as it was when I first stepped foot in it back in 1978.....,2 months ago
Pagliai's Pizza,Kim McGregor,1 star,"Called for a pizza, asking about time for delivery or take out. Guy who I TT was very short and sarcastic. Sounded irritated, as if I was inconveniencing him to even call and order.  Once order was placed he didn't even repeat it back to me …",5 months ago
Pagliai's Pizza,SS,4 stars,"Pizza was good.  Seriously stretchy cheese.  Thursday and Sunday special was a pitcher of Michelob for $0.25/0.50/0.75 PITCHER with sm/med/large pizza.  It was busy, a little noisy and took a while to get service and food, understandably, but still a little slow after much of the crowd dispersed.  Servers were courteous and very nice.",a year ago
Pagliai's Pizza,Preston Bennett,5 stars,People and food were great.  Staff seemed a little overwhelmed and it did take a long time.  To order and get our food was about an hour and a half.  However it was the marathon weekend so may have just been a nontypical weekend.,4 months ago
Pagliai's Pizza,A K,4 stars,Holy buckets! Great choice tonight. Got The Works and am loving each bite. Ingredients are super fresh! Not easy to eat... making it a messy fun date with the hubby. …,6 years ago
Pagliai's Pizza,Shelby McCanch,5 stars,"Ive tried many a slice in town, and nothing has come close to the perfection of this pizza! I can't even decide what part is my favorite.. the cheese that's browned beautifully so the flavors pop? Or maybe the sauce that's not too heavy or too light? It could be the crust that i wish never ended. I've never had a better pizza!",4 years ago
Pagliai's Pizza,Rich Whitney,5 stars,"Great pizza and great service. I was there in the mid-afternoon so it was not busy but seemed steady with delivery and 4 or 5 tables eating in. I had the works minus green olives, green peppers and mushrooms. It was well made, well …",6 years ago
Pagliai's Pizza,Andrea Nevermind,5 stars,Old school Mankato staple with a pizza lunch special that's fast & hard to beat! Cheesebread is always a yes! Family owned & operated. Friendly staff. Excellent pizza!,4 months ago
Pagliai's Pizza,Julie Simuncak,5 stars,"Great pizza- loved to sauce & crisp crust- perfect amount of toppings. Got a table right away at 4:45 and place was filled up by 6pm.
The Sunday special was a pleasant surprise.  25 cent pitcher of beer with a large pizza. Wow!",6 months ago
Pagliai's Pizza,Ben Hurrle,3 stars,"Used to to be the best pizza in town, recently has had the worst customer service I have ever dealt with. It’s lucky that I have sentimental value in this place or I’d give it a lower mark. But all I have to say is I’d rather order dominoes over dealing with the dramatic staff.",3 months ago
Pagliai's Pizza,Sami Ammons,5 stars,Always great pizzas!!! Quality ingredients and taste. A MUST stop.,6 months ago
Pagliai's Pizza,Sammy Erie,5 stars,The best pizza pizza in town when me and my bf go here or order we never have had a bad pie and everyone is nice,2 months ago
Pagliai's Pizza,Blink G,1 star,"Used to work there under the former owners (Flansburg's). Stopped in today and have to say, service has gotten worse, and because of that, I couldn't stay for the food, which is always good.  Was last week from the Pagliai's in Grinnell, IA …",5 months ago
Pagliai's Pizza,David Reich,5 stars,Works Deep dish with added Jalapeños. One of the best pizzas I’ve had lately and great crust!,a year ago
Pagliai's Pizza,Csaba Andrasfi,4 stars,"We stopped in for lunch during during a ""roadtrip"" after reading the positive reviews. I had the Taco Pizza and my wife had the pepperoni pizza (how plain, I know 😁). The pizzas were very good (it's hard to mess up a pizza though). The …",7 years ago
Pagliai's Pizza,Len Tow,5 stars,Had a Classic 14 inch Pizza it was very good this place is a real time capsel they have not changed much in forty years.  They have some good beers on tap also.,a year ago
Pagliai's Pizza,Marcus Corbin,4 stars,"Pizza was very good and I would recommend coming here instead of the awful new Za's place across the street. Crust was great and lots of cheese on the pizza. Even a small was a pretty good amount and only $7. Service was a little slow and it was very loud inside. However, it was still a great experience.",6 months ago
Pagliai's Pizza,Gigi Walters,5 stars,If you are ever around Lake Barkley/Kentucky Lake area check out Pagliai's Pizza of Princeton.  Always a treat!,a week ago
Pagliai's Pizza,Khyra Boswell,1 star,Order pizza from this place they said 45 mins to an HR and came an hour and 20 mins late. Tipped them over the phone when I ordered my pizza and it arrived with no toppings on a slice. Like it was scraped off with someone's finger or something. Disgusting and horrible service I took a photo,2 years ago
Pagliai's Pizza,Rachel Oachs,5 stars,Long time favorite. Haven't stopped in for a long time but still exactly as it should be. Great pizza and cheese bread with awesome service!,2 years ago
Pagliai's Pizza,Augster O,5 stars,"Just fantastic pizza and surprisingly fast service on a busy Saturday afternoon. We ordered two pies, because my kids are big eaters, and after we finished the bacon cheeseburger pizza, which was absolutely fantastic, we didn’t get close on …",6 years ago
Pagliai's Pizza,Lee Sue,4 stars,"A very laid back place to enjoy a family dinner, or meet up with friends. They have the most amazing mozzarella cheese that they put on their cheesy bread, pizzas, sandwiches. The Noon Time one-topping pizza and pop special is awesome. Our …",7 years ago
Pagliai's Pizza,Nicholas Popehn,5 stars,"Now keep in mind this is our first and only visit...

The pizza was great! Heard some hype from somewhere (can't remember where) and …",4 years ago
Pagliai's Pizza,A Z,5 stars,Excellent pizza and friendly staff. Nothing fancy inside but also good beer.,2 years ago
Pagliai's Pizza,Peter Schlosser,5 stars,"Welp, I finally found the best pizza in New Ulm. It's in Mankato, right here @ Pagliai's. Worth the drive. Comparable to NY pizza's, so don't hesitate.",6 months ago
Pagliai's Pizza,Carlos Burns,5 stars,Corner stone in the community that stands the test of time. Pizza 🍕 of great reputation since 1969. Delicious 😋 …,10 months ago
Pagliai's Pizza,Larry Lindahl,5 stars,"I've been going to Pagliai's for a long time. You just can't beat their pizza. They don't skimp on ingredients and the cheese and sauce seal the deal. If you are in the Mankato area and want to try a great pizza, stop at Pagliai's.",5 years ago
Pagliai's Pizza,Dawnlynn Greeney,5 stars,"Stumbled across this pizzeria while traveling. The pizza was so good, I may need to return to Mankato just to have more pizza! Plentiful toppings on not too thick, not too thin crust!",6 months ago
