Restaurant Name,Rating,Review Count,Price Range,Categories,Street Address,Latitude,Longitude,Phone Number,Website URL
Nolabelle Kitchen + Bar,4.4,117,$$,"Burgers, American, Sandwiches","520 S Front St, Ste 500, Mankato, MN 56001",44.1633024,-94.0072095,15077200841,https://www.yelp.com/biz/nolabelle-kitchen-bar-mankato?adjust_creative=o_RAY0-eNqqkdEgxxTP7Ww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=o_RAY0-eNqqkdEgxxTP7Ww
Pagliai's Pizza,4.2,181,$$,"Pizza, Italian, Sandwiches","524 S Front St, Mankato, MN 56001",44.16318415,-94.00707426,15073456080,https://www.yelp.com/biz/pagliais-pizza-mankato?adjust_creative=o_RAY0-eNqqkdEgxxTP7Ww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=o_RAY0-eNqqkdEgxxTP7Ww
Pappageorge Restaurant & Bar,4.3,54,$$,"Bars, Steakhouses, American","1028 N Riverfront Dr, Mankato, MN 56001",44.17687988,-93.99424744,15073878974,https://www.yelp.com/biz/pappageorge-restaurant-and-bar-mankato?adjust_creative=o_RAY0-eNqqkdEgxxTP7Ww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=o_RAY0-eNqqkdEgxxTP7Ww
Number 4 Steakhouse,3.6,182,$$,"American, Steakhouses, Beer Bar","124 E Walnut, Mankato, MN 56001",44.16606721,-94.00237495,15073441444,https://www.yelp.com/biz/number-4-steakhouse-mankato?adjust_creative=o_RAY0-eNqqkdEgxxTP7Ww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=o_RAY0-eNqqkdEgxxTP7Ww
Pub 500,3.8,169,$$,"Pubs, American","500 S Front St, Mankato, MN 56001",44.16373,-94.0068299,15076256500,https://www.yelp.com/biz/pub-500-mankato-2?adjust_creative=o_RAY0-eNqqkdEgxxTP7Ww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=o_RAY0-eNqqkdEgxxTP7Ww
Dino's Pizzeria,3.7,92,$$,"Pizza, Italian, Sandwiches","239 Belgrade Ave, North Mankato, MN 56003",44.170027,-94.007495,,https://www.yelp.com/biz/dinos-pizzeria-north-mankato-2?adjust_creative=o_RAY0-eNqqkdEgxxTP7Ww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=o_RAY0-eNqqkdEgxxTP7Ww
El Mazatlan Authentic Mexican Restaurant,4,138,$$,Mexican,"1525 Tullamore St, Mankato, MN 56001",44.16739,-93.96776,15076252406,https://www.yelp.com/biz/el-mazatlan-authentic-mexican-restaurant-mankato-2?adjust_creative=o_RAY0-eNqqkdEgxxTP7Ww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=o_RAY0-eNqqkdEgxxTP7Ww
India Palace,4.3,107,$$,"Indian, Vegetarian, Vegan","1511 Madison Ave, Ste 100, Mankato, MN 56001",44.1665187,-93.9688318,15076252300,https://www.yelp.com/biz/india-palace-mankato?adjust_creative=o_RAY0-eNqqkdEgxxTP7Ww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=o_RAY0-eNqqkdEgxxTP7Ww
Shawarmania Mediterranean Grill,4.6,45,N/A,"Mediterranean, Halal","251 Bunting Ln, Ste 101, Mankato, MN 56001",44.14606,-93.98824,15077797341,https://www.yelp.com/biz/shawarmania-mediterranean-grill-mankato?adjust_creative=o_RAY0-eNqqkdEgxxTP7Ww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=o_RAY0-eNqqkdEgxxTP7Ww
Tav On The Ave,3.4,71,$$,American,"1120 Madison Ave, Mankato, MN 56001",44.16729,-93.97727,15073453308,https://www.yelp.com/biz/tav-on-the-ave-mankato?adjust_creative=o_RAY0-eNqqkdEgxxTP7Ww&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=o_RAY0-eNqqkdEgxxTP7Ww
